,profit_gain_list,sustained_profit_list,accumulated_profit_gain,accumulated_sustained_profit,profit_ratio_list
0,0.0,-12.863353727903991,0.0,-12.863353727903991,-0.0
1,-22.35871156846215,53.80377565757715,-22.35871156846215,40.94042192967316,-0.5461280200499549
2,-8.877501236546367,11.887570555695833,-31.23621280500852,52.82799248536899,-0.5912814652886832
3,-11.70089699599651,31.86851491840192,-42.93710980100503,84.69650740377091,-0.506952542875379
4,0.0,0.0,-42.93710980100503,84.69650740377091,-0.506952542875379
5,-25.696627555446653,16.44481639850489,-68.63373735645169,101.14132380227579,-0.678592436565551
6,-6.735091771967273,72.03712542078159,-75.36882912841897,173.17844922305738,-0.4352090543976541
7,-61.11495352040369,19.09370005006852,-136.48378264882265,192.2721492731259,-0.7098468663547578
8,-63.8610180232817,4.697363981984289,-200.34480067210436,196.9695132551102,-1.0171360905615001
9,-50.91223128560986,4.400904228290202,-251.25703195771422,201.3704174834004,-1.2477355666128376
10,-12.465564482104739,30.21110978798952,-263.722596439819,231.58152727138992,-1.1387894343177165
11,12.997207134415884,82.88322439499979,-250.7253893054031,314.4647516663897,-0.7973084041272562
12,-16.208952058075504,27.54063835995681,-266.9343413634786,342.0053900263465,-0.7804974691858372
13,-14.298365938676852,50.71263142804106,-281.23270730215546,392.71802145438755,-0.7161186702373408
14,1.916965547182194,28.70648802278334,-279.31574175497326,421.4245094771709,-0.662789504344441
15,-3.0450246783504227,43.6668989987541,-282.3607664333237,465.091408475925,-0.6071081109810262
16,14.039872717895264,62.76709746483657,-268.32089371542844,527.8585059407616,-0.5083197309423304
17,-54.39858106383154,43.990412030042776,-322.71947477926,571.8489179708043,-0.5643439458177595
18,-48.985370171967276,40.88512449412352,-371.7048449512273,612.7340424649278,-0.6066332522605079
19,-24.05112218122846,55.513831690618375,-395.75596713245574,668.2478741555462,-0.5922292946050386
20,-17.819922498625356,111.79686392165787,-413.5758896310811,780.0447380772041,-0.5301950893874857
21,-13.276911117147726,72.70663541377132,-426.85280074822884,852.7513734909754,-0.5005594995418042
22,1.5431137784708682,39.24786480626272,-425.309686969758,891.9992382972381,-0.47680498896124995
23,-0.2462170893641762,41.88060108160636,-425.55590405912216,933.8798393788445,-0.4556859310103257
24,-14.91768702878857,112.31818299725074,-440.47359108791073,1046.1980223760952,-0.42102315399862794
25,-8.19183783054114,62.7137096150255,-448.6654289184519,1108.9117319911206,-0.4045997674790986
26,-38.08727340125421,52.42019592691558,-486.7527023197061,1161.3319279180362,-0.41913314412385627
27,3.773100982225177,44.181912139681884,-482.9796013374809,1205.513840057718,-0.40064210404615236
28,-15.153133887362426,28.671190903135525,-498.1327352248433,1234.1850309608535,-0.4036126858847337
29,2.2566956703351515,11.169937192998042,-495.87603955450817,1245.3549681538516,-0.39818048045338306
30,-30.090747847310936,76.33365567034343,-525.9667874018191,1321.688623824195,-0.39795060494655576
31,-1.176278392242203,4.966340380730102,-527.1430657940614,1326.6549642049251,-0.3973475244258272
32,5.306300565704557,2.2543341474396783,-521.8367652283569,1328.9092983523649,-0.39268049811627553
